make: hw3.out started >>>
node: 9, x: 15.32, y: 13.40, w: 1.63, h: 4.90
node: 10, x: 0.74, y: 12.54, w: 3.94, h: 3.55
node: 11, x: 9.18, y: 16.46, w: 3.00, h: 3.00
node: 12, x: 19.42, y: 8.05, w: 2.00, h: 4.00
node: 13, x: 8.94, y: 10.88, w: 6.00, h: 2.00
node: 14, x: 0.01, y: 8.67, w: 2.00, h: 3.00
node: 15, x: 7.53, y: 9.73, w: 1.41, h: 5.66
node: 16, x: 9.01, y: 7.78, w: 3.87, h: 3.10
node: 17, x: 2.55, y: 16.09, w: 2.83, h: 2.12
node: 18, x: 20.98, y: 14.96, w: 2.67, h: 1.87
node: 19, x: -0.00, y: 18.23, w: 2.74, h: 2.19
node: 20, x: 23.65, y: 13.39, w: 1.41, h: 2.83
node: 21, x: 0.05, y: 16.15, w: 2.50, h: 2.00
node: 22, x: 2.74, y: 18.21, w: 2.68, h: 2.24
node: 23, x: 26.24, y: 8.15, w: 2.00, h: 2.00
node: 24, x: 7.53, y: 15.39, w: 1.41, h: 2.12
node: 25, x: 5.42, y: 12.65, w: 2.11, h: 5.69
node: 26, x: 25.06, y: 13.66, w: 1.75, h: 2.28
node: 27, x: 15.18, y: 7.81, w: 4.00, h: 2.00
node: 28, x: 12.38, y: 15.91, w: 2.54, h: 3.55
node: 29, x: 19.15, y: 13.40, w: 1.73, h: 3.46
node: 30, x: 24.24, y: 8.15, w: 2.00, h: 2.00
node: 31, x: 23.94, y: 18.43, w: 4.00, h: 2.00
node: 32, x: 25.04, y: 10.15, w: 2.42, h: 2.90
node: 33, x: 5.29, y: 7.80, w: 2.11, h: 1.90
node: 34, x: 14.94, y: 9.81, w: 4.47, h: 3.58
node: 35, x: 21.06, y: 16.83, w: 2.51, h: 3.59
node: 36, x: 21.42, y: 8.64, w: 2.83, h: 2.83
node: 37, x: 9.37, y: 12.88, w: 2.61, h: 1.53
node: 38, x: 23.65, y: 16.26, w: 1.41, h: 2.12
node: 39, x: 12.49, y: 12.89, w: 2.32, h: 3.02
node: 40, x: 2.01, y: 9.70, w: 3.52, h: 2.84
node: 41, x: 17.31, y: 16.87, w: 3.66, h: 3.55
node: 42, x: 17.41, y: 13.40, w: 1.73, h: 3.46
node: 43, x: 21.02, y: 13.41, w: 2.58, h: 1.55
node: 44, x: 14.96, y: 18.30, w: 2.36, h: 2.12
node: 45, x: 25.07, y: 16.22, w: 3.16, h: 2.21
area: 358.192984 = 28.24 * 12.68
node: 1, x: 10.53, y: 17.48, w: 2.00, h: 2.00
node: 2, x: 2.22, y: 8.44, w: 3.16, h: 1.58
node: 3, x: 12.91, y: 9.97, w: 3.00, h: 1.00
node: 4, x: 23.14, y: 7.42, w: 1.41, h: 2.83
node: 5, x: 12.97, y: 14.45, w: 2.00, h: 3.00
node: 6, x: 0.11, y: 17.09, w: 2.00, h: 2.50
node: 7, x: 19.63, y: 16.49, w: 3.65, h: 1.10
node: 8, x: 2.63, y: 11.77, w: 3.42, h: 2.05
node: 9, x: 7.97, y: 8.41, w: 4.90, h: 1.63
